solute_smiles,solvent_smiles,logS,temp_k
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-1.9964190908298327,311.25
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-1.6967991842301131,314.65
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-1.4768238594555132,319.15
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-1.0790636728136729,322.15
CCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-0.6321111138572452,324.15
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-2.767539969453911,296.35
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-2.4692248420863785,302.05
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-2.294695099598497,305.35
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-1.929625086694265,311.65
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-1.821081239161633,313.05
CCCCCCCCCCCCCCCCCCCCCC(=O)OCCO,CCO,-0.6573614584964483,322.45
O=[N+]([O-])c1cccc2ccccc12,CCO,-0.3131383158575335,298.15
CC(=O)Nc1ccc(O)cc1,CCO,-0.0406858149763315,293.15
CC(=O)Nc1ccc(O)cc1,CCO,-0.0067242551672805,298.15
CC(=O)Nc1ccc(O)cc1,CCO,0.0493754886369184,303.15
CC(=O)Nc1ccc(O)cc1,CCO,0.0828699003594825,308.15
CC(=O)Nc1ccc(O)cc1,CCO,0.1042419873918237,313.15
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,-0.629968598353204,293.15
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,-0.5741635881528437,298.15
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,-0.5364480323527364,303.15
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,-0.3624266564871015,313.15
O=[N+]([O-])N1CC([N+](=O)[O-])([N+](=O)[O-])C1,CCO,-0.1683276898862639,323.15
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,CCO,-3.654352301733323,298.15
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,-1.342421263291304,288.2
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,-1.1875994319674923,293.2
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,-1.0407904773030656,298.2
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,-0.9026012578159384,303.2
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,-0.7695258285946608,308.2
CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12,CCO,-0.6435218019492455,313.2
